"current_path","current_role","target_module","target_path","migration_type","owner","target_gate","rationale"
"app/layout.tsx","global layout + metadata","app shell","app/(public)/layout.tsx + lib/seo/metadata-factory.ts","SPLIT","Frontend Architecture","Gate 2","Separate public layout from metadata composition."
"app/page.tsx","homepage route","public routes","app/(public)/page.tsx","REFINE","Frontend Architecture","Gate 2","Keep route while swapping to new template sections."
"app/products/**","product pages","product feature","app/(public)/products/** + features/product/**","SPLIT","Frontend Architecture","Gate 2","Separate routing from queries and reusable sections."
"app/solutions/**","solution pages","solution feature","app/(public)/solutions/** + features/solution/**","SPLIT","Frontend Architecture","Gate 2","Dedicated solution templates and query layer."
"app/knowledge/**","knowledge routes","knowledge feature","app/(public)/knowledge/** + features/knowledge/**","SPLIT","Frontend Architecture","Gate 2","Shared article rendering and locale support."
"components/layout/**","site shell","design system shell","components/shell/**","MOVE","UI/UX + Frontend","Gate 2","Clarify ownership of header, footer, breadcrumb and mobile nav."
"components/schema/**","JSON-LD","seo adapters","lib/seo/schema/** + thin render helpers","SPLIT","SEO_GEO","Gate 2","Schema composition should not live inside page components."
"components/ui/**","primitive components","design system","components/design-system/**","MOVE","UI/UX","Gate 2","Token-driven primitives and section components need clear boundary."
"lib/cms-data.ts","DB mapping + presentation shaping","query layer","lib/data-access/** + lib/view-models/**","SPLIT","Frontend Architecture","Gate 2","Separate Prisma reads from view transformations."
"lib/site.ts","site config + nav","IA config","lib/config/site-config.ts + lib/config/nav-manifest.ts","SPLIT","IA","Gate 2","Static config and navigational IA should be versioned separately."
"lib/site-settings.ts","brand setting query","query layer","lib/data-access/site-settings.ts","MOVE","Frontend Architecture","Gate 2","Centralize public read queries."
"lib/seo.ts","metadata helpers","metadata factory","lib/seo/metadata-factory.ts","REPLACE","SEO_GEO","Gate 2","One factory for canonical, robots, OG and alternates."
"middleware.ts","admin auth guard","admin boundary","middleware.ts + lib/admin/auth","REFINE","QA/Security","Gate 2","Preserve route protection while removing public defaults and clarifying env requirements."
"app/admin/** + app/api/admin/**","admin CMS","admin app","app/(admin)/** + app/api/admin/**","ISOLATE","Frontend Architecture","Gate 2","Logical isolation from public IA and template work."
"app/sitemap.ts","sitemap generation","route manifest","lib/seo/sitemap-builder.ts + app/sitemap.ts","SPLIT","SEO_GEO","Gate 2","Sitemap generation must consume explicit URL manifest and locale rules."
