"ownership_area","owner_agent","allowed_files","forbidden_files","notes"
"planning/gate1a/url/**","Crawler and URL Agent","planning/gate1a/url/**","planning/gate1a/ia/**|planning/gate1a/design/**","Owns URL manifest and sitemap 404 decisions."
"planning/gate1a/ia/**","Information Architecture Agent","planning/gate1a/ia/**","planning/gate1a/url/** outputs","Owns IA trees, navigation and journeys."
"planning/gate1a/design/**","UI/UX Design Agent","planning/gate1a/design/**","business facts and product parameter edits","Owns tokens, component spec and page patterns."
"planning/gate1a/architecture/**","Frontend Architecture Agent","planning/gate1a/architecture/**","planning/gate1a/seo-geo/** except cited references","Owns ADRs, architecture and file migration draft."
"planning/gate1a/seo-geo/**","SEO and GEO Agent","planning/gate1a/seo-geo/**","planning/gate1a/i18n/** direct edits","Owns metadata, canonical, robots and remediation matrix."
"planning/gate1a/i18n/**","Internationalization Agent","planning/gate1a/i18n/**","planning/gate1a/design/** direct edits","Owns locale registry, route pairing and glossary."
"planning/gate1a/qa-release/**","QA, Security and Release Agent","planning/gate1a/qa-release/**","business source code","Owns Gate 1B readiness and validation plans."
"app/**","Future Gate 2 implementation teams","NO_EDIT_IN_GATE_1A","all Gate 1A planners","Business source frozen in Gate 1A."
"components/**","Future Gate 2 implementation teams","NO_EDIT_IN_GATE_1A","all Gate 1A planners","Business source frozen in Gate 1A."
"lib/**|prisma/**|public/**","Future Gate 2 implementation teams","NO_EDIT_IN_GATE_1A","all Gate 1A planners","Business source frozen in Gate 1A."
