"task_id","title","scope","input","output","owner_agent","allowed_files","forbidden_files","dependencies","acceptance_test","rollback","risk","estimated_complexity","parallelizable","blocking_status"
"G2-001","Build public shell from approved IA and tokens","layout/header/footer/breadcrumb","target IA + design tokens","public shell components","Frontend Architecture","app/layout.tsx|components/layout/**|components/design-system/**","prisma/**|package.json","Gate1A approval","visual + HTTP smoke","git revert shell commit","navigation regression","M","YES","UNBLOCKED"
"G2-002","Implement metadata factory","canonical/robots/OG/alternates","metadata spec","central metadata helpers","SEO_GEO","lib/seo/**|app/** generateMetadata","production config","G2-001","route metadata assertions","revert metadata factory","SEO regressions","M","YES","UNBLOCKED"
"G2-003","Introduce locale registry","i18n scaffolding only","locale registry spec","locale config and helpers","I18N","lib/i18n/**|app/** locale utilities","content rewrite","G2-002","locale unit checks","remove registry layer","route mismatch","M","YES","UNBLOCKED"
"G2-004","Refactor product templates","product overview/category/detail","template matrix + design patterns","three product templates","Frontend Architecture","app/products/**|components/product/**|features/product/**","prisma/schema.prisma","G2-001|G2-002","visual + typecheck","restore old routes","content field mismatch","L","NO","UNBLOCKED"
"G2-005","Refactor knowledge templates","knowledge index/category/article","knowledge pattern + metadata spec","knowledge templates","Frontend Architecture","app/knowledge/**|components/article/**|features/knowledge/**","database writes","G2-001|G2-002","metadata + render checks","restore old knowledge templates","article source fields missing","L","YES","UNBLOCKED"
"G2-006","Refactor contact and lead entry shell","contact page and form presentation only","contact pattern","new contact layout","UI/UX","app/contact/**|components/lead/**","api/leads route logic","G2-001","form rendering and a11y","restore contact UI","PII UX regression","M","YES","UNBLOCKED"
"G2-007","Create redirect manifest loader","URL manifest integration","url decision manifest","typed redirect manifest reader","SEO_GEO","lib/routing/**|planning promoted data","production redirect activation","G2-002","manifest parser tests","remove loader","incorrect redirect data","S","YES","UNBLOCKED"
"G2-008","Design-system primitive alignment","buttons/forms/cards/tables/status","design tokens + component spec","token-driven primitives","UI/UX","components/ui/**|components/design-system/**","public content fields","G2-001","visual snapshots","revert primitives","style churn","M","YES","UNBLOCKED"
"G2-009","Gate 1B lint readiness","eslint config and non-interactive lint","gate1b readiness plan","committed lint config","QA_RELEASE",".eslintrc.*|eslint.config.*|package.json if approved","bulk auto-fix on business code","Gate1B approval","npm run lint non-interactive","revert lint config","noise from legacy files","M","YES","BLOCKED_BY_GATE_1B"
"G2-010","No-write smoke harness","test adapters and dry-run strategy","gate1b readiness plan","safe smoke harness","QA_RELEASE","scripts/**|tests/**","production endpoints","Gate1B approval","dry-run smoke in clean env","remove test harness","false confidence","M","YES","BLOCKED_BY_GATE_1B"
"G2-011","DB verification intake","read-only content validation pipeline","DB preconditions","validation checklist + ingest scripts","QA_RELEASE","planning promoted docs|audit helpers","prisma writes","business-provided readonly data","sample record verification","discard validation data","stale export","M","NO","BLOCKED_BY_BUSINESS_INPUT"
"G2-012","Admin/public boundary hardening","route groups and auth defaults","ADR-007 + ADR-008","isolated admin/public boundaries","Frontend Architecture","app/admin/**|middleware.ts|lib/auth.ts","schema changes","G2-001","admin route protection smoke","restore previous boundary","auth regressions","M","NO","UNBLOCKED"
